"iso_o","year","ck","pop_o","area_o","TO","temperature","rainfall","openness_hat","AperP","ckperP"
"MDG",2003,31572.517578125,17279141,587041,0.5515923812,22.868125,119.789466666667,0.031365238017302,0.0339739689606098,0.00182720411727209
"MDG",2004,34069.83203125,17802997,587041,0.8012032439,22.87835,124.202183333333,0.00126356421668146,0.0329742795552906,0.00191371329396112
"MDG",2005,37221.56640625,18336724,587041,0.7376518213,24.034575,115.693241666667,0.00258690791596102,0.032014497246073,0.00202989183925384
"MDG",2006,39963.1328125,18880268,587041,0.754970994,25.266775,110.674825,0.0169947997894309,0.0310928319449703,0.00211666131076635
"MDG",2007,42414.25,19433523,587041,0.8239079788,25.2520833333333,108.385125,0.00622102129655748,0.0302076468584723,0.00218253015678115
"MDG",2008,46735.14453125,19996469,587041,0.8344980417,25.5817666666667,123.482441666667,0.00744194166596634,0.0293572330194896,0.00233716985390021
"MDG",2009,48336.7578125,20569121,587041,0.7399667599,25.968875,116.798183333333,0.0132042338268597,0.0285399167032952,0.00234996710907092
"MDG",2010,49396.03125,21151640,587041,0.6802269417,24.5388916666667,110.709875,0.00140180295394284,0.0277539235728293,0.00233532866718609
"MDG",2011,51569.01171875,21743949,587041,0.6907646335,24.4830166666667,104.236083333333,0.0112017342379457,0.0269979018070729,0.0023716488536075
"MDG",2012,53955.55859375,22346573,587041,0.6762171161,22.8168833333333,111.452758333333,7.12944272098731e-05,0.0262698445976482,0.0024144891744139
"MDG",2013,56781.21484375,22961146,587041,0.6881598023,22.757975,128.652866666667,0.000259707763486429,0.0255667116963587,0.00247292599610446
"MDG",2014,60109.73828125,23589801,587041,0.6989687591,23.43415,136.916258333333,0.00553446640058665,0.0248853731322278,0.00254812400839032
"MDV",2002,2479.0908203125,294341,298,NA,28.3070166666667,172.897583333333,0.00228401322873578,0.00101243115977727,0.00842251273289314
"MDV",2003,2759.4013671875,302209,298,NA,28.2815916666667,181.019666666667,0.0164900190493718,0.000986072552438875,0.00913077164210033
"MDV",2004,3209.36059570312,310423,298,NA,28.2049083333333,185.25895,0.000666311953207148,0.000959980413822429,0.0103386688347936
"MDV",2005,3836.01171875,318836,298,NA,28.3074333333333,164.155,0.000810047431062523,0.000934649788606055,0.0120313004765773
"MDV",2006,4790.80029296875,327371,298,1.1576900062,28.1028083333333,179.139291666667,0.015626079335203,0.000910282218033974,0.0146341621370517
"MDV",2007,5909.37060546875,336070,298,1.8409329601,28.2355416666667,170.627016666667,0.0237928269342647,0.000886720028565477,0.0175837492351854
"MDV",2008,7245.14208984375,345054,298,1.7814023098,27.9800916666667,184.849,0.0197333315551941,0.000863632938612507,0.0209971253480433
