"iso_o","iso_d","contig","dist","distcap"
"AGO","MTQ",0,8605.604,8605.604
"AGO","MUS",0,4915.372,4915.372
"AGO","MWI",0,2314.207,2314.207
"AGO","MYS",0,9900.254,9900.254
"AGO","NAM",1,1582.875,1582.875
"AGO","NCL",0,15503.07,15503.07
"AGO","NER",0,2778.376,2778.376
"AGO","NFK",0,15020.05,15020.05
"AGO","NGA",0,2017.813,2115.098
"AGO","NIC",0,11252.12,11252.12
"AGO","NIU",0,16914.76,16914.76
"AGO","NLD",0,6856.132,6856.132
"AGO","NOR",0,7655.045,7655.045
"AGO","NPL",0,8745.843,8745.843
"AGO","NRU",0,16933.59,16933.59
"AGO","NZL",0,13836.31,13836.31
"AGO","OMN",0,6115.173,6115.173
"AGO","PAK",0,7889.046,7889.046
"AGO","PAL",0,5027.387,5027.387
"AGO","PAN",0,10468.29,10468.29
"AGO","PCN",0,14553.54,14553.54
"AGO","PER",0,9843.897,9843.897
"AGO","PHL",0,12159.63,12159.63
"AGO","PLW",0,13562.46,13562.46
"AGO","PNG",0,14529.4,14529.4
"AGO","POL",0,6838.712,6838.712
"AGO","PRI",0,9222.951,9222.951
"AGO","PRK",0,12578.15,12578.15
"AGO","PRT",0,5779.503,5779.503
"AGO","PRY",0,7684.19,7684.19
"AGO","PYF",0,16543.5,16543.5
"AGO","QAT",0,5620.981,5620.981
"AGO","REU",0,4718.442,4718.442
"AGO","ROM",0,6066.591,6066.591
"AGO","RUS",0,7535.854,7535.854
"AGO","RWA",0,2014.346,2014.346
"AGO","SAU",0,5207.322,5207.322
"AGO","SDN",0,3447.449,3447.449
"AGO","SEN",0,4277.941,4277.941
"AGO","SGP",0,10104.83,10104.83
"AGO","SHN",0,2203.998,2203.998
"AGO","SLB",0,15818.79,15818.79
"AGO","SLE",0,3517.934,3517.934
"AGO","SLV",0,11580.46,11580.46
"AGO","SMR",0,5875.244,5875.244
"AGO","SOM",0,3760.601,3760.601
"AGO","SPM",0,9206.762,9206.762
"AGO","STP",0,1239.145,1239.145
"AGO","SUR",0,7771.882,7771.882
"AGO","SVK",0,6355.751,6355.751
"AGO","SVN",0,6111.597,6111.597
"AGO","SWE",0,7599.202,7599.202
"AGO","SWZ",0,2711.923,2711.923
"AGO","SYC",0,4687.008,4687.008
"AGO","SYR",0,5305.969,5305.969
"AGO","TCA",0,9801.308,9801.308
"AGO","TCD",0,2345.135,2345.135
"AGO","TGO",0,2128.469,2128.469
"AGO","THA",0,9955.721,9955.721
"AGO","TJK",0,7803.152,7803.152
"AGO","TKL",0,17965.46,17965.46
"AGO","TKM",0,7002.799,7002.799
"AGO","TMP",0,12285.98,12285.98
"AGO","TON",0,16570.23,16570.23
"AGO","TTO",0,8557.671,8557.671
"AGO","TUN",0,5092.534,5092.534
"AGO","TUR",0,5778.666,5790.759
"AGO","TUV",0,17554.26,17554.26
"AGO","TWN",0,12268.99,12268.99
"AGO","TZA",0,2880.082,2498.828
"AGO","UGA",0,2373.897,2373.897
"AGO","UKR",0,6802.643,6802.643
"AGO","URY",0,7581.052,7581.052
"AGO","USA",0,10427.39,10653.89
"AGO","UZB",0,7977.375,7977.375
"AGO","VCT",0,8587.411,8587.411
"AGO","VEN",0,9137.924,9137.924
"AGO","VGB",0,9066.944,9066.944
