pr,"	Year", Month, Country, ISO3, ISO2
5.4839,1966,1,EGY,,
9.3023,1966,2,EGY,,
5.38874,1966,3,EGY,,
1.32328,1966,4,EGY,,
8.98649,1966,5,EGY,,
1.43394,1966,6,EGY,,
2.58838,1966,7,EGY,,
2.67496,1966,8,EGY,,
1.73146,1966,9,EGY,,
0.94579,1966,10,EGY,,
7.53365,1966,11,EGY,,
3.12353,1966,12,EGY,,
3.73339,1967,1,EGY,,
8.89208,1967,2,EGY,,
2.01082,1967,3,EGY,,
0.70686,1967,4,EGY,,
7.50182,1967,5,EGY,,
1.42037,1967,6,EGY,,
2.51918,1967,7,EGY,,
2.62073,1967,8,EGY,,
1.06209,1967,9,EGY,,
5.76415,1967,10,EGY,,
4.24615,1967,11,EGY,,
3.04946,1967,12,EGY,,
2.52955,1968,1,EGY,,
1.44334,1968,2,EGY,,
1.59987,1968,3,EGY,,
2.88396,1968,4,EGY,,
3.21181,1968,5,EGY,,
2.39384,1968,6,EGY,,
2.72344,1968,7,EGY,,
2.12857,1968,8,EGY,,
1.43531,1968,9,EGY,,
1.88252,1968,10,EGY,,
4.04852,1968,11,EGY,,
3.32305,1968,12,EGY,,
13.5156,1969,1,EGY,,
3.21652,1969,2,EGY,,
3.88002,1969,3,EGY,,
4.18212,1969,4,EGY,,
1.95776,1969,5,EGY,,
1.42044,1969,6,EGY,,
2.53052,1969,7,EGY,,
1.98697,1969,8,EGY,,
1.16979,1969,9,EGY,,
8.7914,1969,10,EGY,,
1.24458,1969,11,EGY,,
0.55822,1969,12,EGY,,
5.85506,1970,1,EGY,,
0.51395,1970,2,EGY,,
1.11493,1970,3,EGY,,
1.1401,1970,4,EGY,,
0.64746,1970,5,EGY,,
1.42044,1970,6,EGY,,
2.86544,1970,7,EGY,,
1.87726,1970,8,EGY,,
1.09192,1970,9,EGY,,
1.24384,1970,10,EGY,,
3.10679,1970,11,EGY,,
2.1557,1970,12,EGY,,
5.36458,1971,1,EGY,,
2.32777,1971,2,EGY,,
2.32409,1971,3,EGY,,
3.34211,1971,4,EGY,,
2.31415,1971,5,EGY,,
1.83891,1971,6,EGY,,
2.66214,1971,7,EGY,,
2.33565,1971,8,EGY,,
1.27157,1971,9,EGY,,
0.31207,1971,10,EGY,,
1.75552,1971,11,EGY,,
5.58257,1971,12,EGY,,
2.08162,1972,1,EGY,,
2.34123,1972,2,EGY,,
4.82585,1972,3,EGY,,
6.30125,1972,4,EGY,,
0.65941,1972,5,EGY,,
2.02827,1972,6,EGY,,
2.935,1972,7,EGY,,
2.36679,1972,8,EGY,,
1.10005,1972,9,EGY,,
1.0278,1972,10,EGY,,
3.13744,1972,11,EGY,,
3.76706,1972,12,EGY,,
